20456,georgetown,1987,Big East,0.667,71.9,Anthony Allen,26,14,13.3,0.479,0.479,0,0.64,2.7,0.3,0.6,1.1,0.4,2.4,John Thompson 
20457,bethune-cookman,1987,MEAC,0.222,64.4,Anthony Anderson,27,0,0,0.489,0.497,0.2,0.82,3.8,1.1,1.5,0.3,0,16.3,Cy McClairen 
20458,tennessee-tech,1987,OVC,0.429,73,Anthony Avery,27,0,0,0.46,0.49,0.402,0.719,3.5,5.4,2,0.2,0,15.9,Tom Deaton 
20459,lamar,1987,ASC,0.645,71.8,Anthony Bledsoe,31,0,0,0.412,0.425,0.38,0.653,4,2.7,1.9,0.4,0,11.5,Tom Abatemarco 
20460,long-island-university,1987,ECACM,0.5,82.6,Anthony Bogarty,24,0,0,0.319,0.316,0.323,0.78,1.3,2.5,0.4,0.1,0,3.9,Paul Lizzo 
20461,saint-louis,1987,MW Coll,0.5,67.8,Anthony Bonner,28,27,33.6,0.537,0.537,0,0.597,8.8,1.1,1.1,0.6,2.3,13.8,Rich Grawer 
20462,texas-am,1987,SWC,0.516,69.3,Anthony Booker,15,0,0,0.328,0.364,0.28,0.591,1.8,0.9,0.5,0,0,3.9,Shelby Metcalf 
20463,akron,1987,Ind,0.75,79.6,Anthony Buford,23,0,0,0.4,0.394,0.407,0.68,2.3,1.9,1.1,0.3,0,9.3,Bob Huggins 
20464,northern-arizona,1987,Big Sky,0.357,69.1,Anthony Burgess,25,21,29.8,0.564,0.581,0,0.6,6.2,1.4,0.9,0.2,2,9.6,Jay Arnote 
20465,marquette,1987,Ind,0.357,67.6,Anthony Candelino,23,0,0,0.338,0.391,0.31,0.636,1.2,1.4,1.2,0,0,2.8,Bob Dukiet 
20466,old-dominion,1987,Sun Belt,0.6,76.8,Anthony Carver,30,0,0,0.484,0.51,0.368,0.787,7,1.2,1.3,0.2,0,15,Tom Young 
20467,arizona,1987,Pac-10,0.921,85.1,Anthony Cook,38,0,30.8,0.618,0.62,0,0.716,7.1,0.4,0.7,2,1.4,13.9,Lute Olson 
