team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
fairleigh-dickinson,1991,NEC,0.5,69.3,"Andre Durity",28,27,22.5,0.376,0.343,0.556,0.733,2.4,3.1,1.6,0.1,2.5,4.7,"Tom Green "
delaware-state,1991,MEAC,0.429,76.8,"Andre Griffin",28,1,18.3,0.317,0.357,0.231,0.517,3.7,0.9,0.9,0,1.4,6.4,"Jeff Jones "
citadel,1991,Southern,0.357,69.8,"Andre Harris",28,19,26.4,0.453,0.468,0.303,0.66,3.8,1.6,1.3,0.1,2.7,14.8,"Randy Nesbit "
new-mexico,1991,WAC,0.606,73.6,"Andre McGee",6,1,12.7,0.538,0.5,0.571,0,0.3,3,0.3,0,1.5,3,"Dave Bliss "
alabama,1991,SEC,0.743,78.2,"Andre Perry",32,16,20.9,0.589,0.594,0,0.484,5.9,0.5,0.6,0.6,5.9,9.6,"Wimp Sanderson "
florida-state,1991,ACC,0.688,80.2,"Andre Reid",30,9,16.5,0.447,0.447,0,0.435,4.1,0.3,0.3,1.1,1.1,3.2,"Pat Kennedy "
kentucky,1991,SEC,0.806,85.7,"Andre Riddick",28,5,8.3,0.564,0.564,0,0.263,2.4,0.3,0.2,1.2,0.6,1.9,"Rick Pitino "
missouri-state,1991,MVC,0.742,64.6,"Andre Rigsby",31,30,25.8,0.411,0.458,0.259,0.775,4,1,0.5,0.1,1.1,8.1,"Charles Spoonhour "
eastern-illinois,1991,Mid-Cont,0.548,68.1,"Andre Rodriguez",29,0,0,0.481,0,0,0.647,1.8,0.3,0.2,0.2,0,2.9,"Rick Samuels "
rhode-island,1991,A-10,0.688,78.1,"Andre Samuel",32,32,25.2,0.502,0.549,0.265,0.583,5.9,1,1.6,0.6,1.8,12.5,"Al Skinner "
hawaii,1991,WAC,0.571,71.2,"Andre Stovall",16,0,5.8,0.421,0.538,0.36,0.333,0.9,0.4,0.2,0,0.3,2.6,"Riley Wallace "
cal-state-fullerton,1991,"Big West",0.429,75.8,"Andre Toliver",4,0,1,0,0,0,0,0,0,0,0,0,0,"John Sneed "
