team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
william-mary,2017,CAA,0.613,85,"Jihar Williams",15,0,7.3,0.244,0.2,0.258,0.429,0.6,0.4,0.4,0.3,0.1,2.1,"Tony Shaver "
memphis,2017,AAC,0.618,70.8,"Jimario Rivers",32,24,23.8,0.485,0.5,0.333,0.724,3.6,1.9,0.6,0.5,1.8,6.9,"Tubby Smith "
san-francisco,2017,WCC,0.564,68.8,"Jimbo Lull",31,1,11,0.566,0.632,0.083,0.656,3,0.3,0.2,0.6,1,4.3,"Kyle Smith "
cornell,2017,Ivy,0.429,75.9,"Jimmy Boeheim",26,3,11.9,0.327,0.448,0.15,0.619,2.2,0.5,0,0.2,0.4,3.2,"Brian Earl "
bucknell,2017,Patriot,0.714,81.1,"Jimmy Sotos",35,13,22.3,0.395,0.397,0.393,0.778,2.8,2,0.8,0.1,1.4,4.8,"Nathan Davis "
southern-methodist,2017,AAC,0.515,69.5,"Jimmy Whitt",33,33,33.2,0.488,0.504,0.286,0.594,5.2,3.5,1.8,0.5,1.6,10.5,"Tim Jankovich "
akron,2017,MAC,0.438,71.8,"Jimond Ivey",32,32,33.1,0.4,0.463,0.339,0.763,5.7,3.5,1.1,0.4,2.4,13.1,"John Groce "
texas-am,2017,SEC,0.629,75.2,"JJ Caldwell",16,5,16,0.381,0.4,0.286,0.722,1.9,2.6,0.8,0.1,1.3,2.9,"Billy Kennedy "
baylor,2017,"Big 12",0.559,75.6,"Jo Acuil",33,33,31,0.514,0.528,0.286,0.707,8.6,0.8,0.5,1.9,2.1,14,"Scott Drew "
louisville,2017,ACC,0.611,75.6,"Jo Griffin",6,0,3,0,0,0,0,0,0.3,0.2,0,0.2,0,"David Padgett "
tennessee-tech,2017,OVC,0.576,73.1,"Joan Duran",20,0,7.9,0.452,0.464,0.429,0.444,1.6,0.4,0.4,0.1,0.5,2.4,"Steve Payne "
saint-marys-ca,2017,WCC,0.833,77,"Jock Landale",36,36,33.3,0.64,0.648,0.3,0.746,10.2,2,0.4,1,2.3,21.1,"Randy Bennett "
saint-marys-ca,2017,WCC,0.833,77,"Jock Perry",21,0,3.2,0.517,0.75,0.353,0.727,0.3,0,0,0,0.1,2.1,"Randy Bennett "
