id,team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
2735,marshall,1981,Southern,0.593,80,Sam Henry,27,26,30.9,0.417,0,0,0.639,2.3,7,1.5,0.2,3.1,8,Bob Zuffelato 
2736,hawaii,1981,WAC,0.63,69,Sam Johnson,19,0,5.5,0.394,0,0,0.484,0.8,0.3,0,0,0.6,2.2,Larry Little 
2737,mercer,1981,A-Sun,0.593,69.6,Sam Mitchell,27,0,0,0.497,0,0,0.717,3.7,0.5,0.5,0.2,0.8,7.1,Bill Bibb 
2738,nevada,1981,Big Sky,0.679,79.2,Sam Mosley,28,27,28.3,0.657,0,0,0.626,8.6,0.5,0.5,1,1.8,10.8,Sonny Allen 
2739,texas-arlington,1981,Southland,0.571,80.7,Sam Norton,11,0,5.6,0.565,0,0,0.308,2,0.3,0.1,0.2,0.3,2.7,Bob Snake LeGrand 
2740,north-carolina,1981,ACC,0.941,66.7,Sam Perkins,32,0,35.7,0.578,0,0,0.768,7.8,1.1,1,1.7,1.7,14.3,Dean Smith 
2741,california,1981,Pac-10,0.519,66.9,Sam Potter,18,0,31.4,0.448,0,0,0.815,3.5,2.3,0.7,0.3,2.9,12.7,Dick Kuchen 
2742,michigan-state,1981,Big Ten,0.393,58.8,Sam Vincent,28,17,34.5,0.461,0,0,0.747,2.8,2,1.5,0.1,0,11.7,Jud Heathcote 
2743,murray-state,1981,OVC,0.714,64.6,Sammy Curran,28,0,24.3,0.418,0,0,0.789,3.8,1.1,0,0,1.7,6,Ronald Greene 
2744,louisville,1981,Metro,0.697,73.8,Scooter McCray,30,11,15.7,0.385,0,0,0.706,3.4,1.7,0.6,0.8,1.4,3.3,Denny Crum 
2745,temple,1981,ECC,0.704,68.1,Scott Baggot,2,0,0,0,0,0,0,1.5,0,0,0,0,0,Don Casey 
2746,eastern-kentucky,1981,OVC,0.192,62.2,Scott Daniels,25,0,13.2,0.262,0,0,0.308,0,0.2,0.2,0,0.8,1.2,Max Good 
2747,wake-forest,1981,ACC,0.7,67.8,Scott Davis,27,0,6.8,0.392,0,0,0.545,0.3,1.3,0.3,0,1,1.9,Carl Tacy 
2748,boise-state,1981,Big Sky,0.462,74.5,Scott Elle,4,0,2,0.75,0,0,0.5,1.8,0,0,0,0.5,1.8,Dave Leach 
2749,georgia-tech,1981,ACC,0.385,59.4,Scott Gardner,11,0,2.5,0.4,0,0,0,0.3,0,0,0,0.2,0.4,Bobby Cremins 
2750,pittsburgh,1981,EAA,0.667,68.8,Scott Grevey,12,0,3.8,0.333,0,0,0.5,0.1,0.2,0.2,0,0,0.8,Roy Chipman 
2751,marshall,1981,Southern,0.593,80,Scott Haga,8,0,2.9,0.5,0,0,1,0.9,0.1,0.1,0,0.3,1,Bob Zuffelato 
2752,utah-state,1981,PCAA,0.148,67.4,Scott Harries,27,2,17.2,0.37,0,0,0.673,3.5,0.7,0.5,0,1.3,6.3,Rod Tueller 
2753,arkansas,1981,SWC,0.793,70.8,Scott Hastings,29,0,35.9,0.553,0,0,0.74,6,1.4,1.5,0.8,2.8,18.6,Eddie Sutton 
2754,utah,1981,WAC,0.393,64,Scott Hill,27,0,13.8,0.391,0,0,0.652,1,1.2,0.3,0,0.9,2.6,Jerry Pimm 
2755,arkansas-state,1981,Southland,0.577,59,Scott Horrell,26,21,0,0.549,0,0,0.585,4.7,0.7,0.3,0.3,1.5,7.5,Marvin Adams 
2756,santa-clara,1981,WCAC,0.593,73.5,Scott Lamson,26,18,23.8,0.529,0,0,0.544,4,1.2,0.8,0.2,0,7.3,Carroll Williams 
2757,colorado-state,1981,WAC,0.296,56.9,Scott Mann,24,0,0,0.418,0,0,0.615,2.2,0.7,0,0,0,3,Tony McAndrews 
2758,pennsylvania,1981,Ivy,0.63,64.7,Scott Mascioli,7,0,1,0.5,0,0,0,0,0,0.3,0,0.4,0.6,Bob Weinhauer 
2759,alabama-birmingham,1981,Sun Belt,0.806,73.5,Scott McCabe,13,0,4.5,0.458,0,0,0.6,0.8,0.5,0.1,0.1,0.3,1.9,Gene Bartow 
